route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,bikes_allowed
"6-107-C-j19-1","T0","323.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","324.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","325.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","326.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","327.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","328.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","329.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","330.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","331.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","332.T0.6-107-C-j19-1.4.H","107 Ettlingen Stadt ü. Zündhütle","","0","","2"
"6-107-C-j19-1","T0","288.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","289.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","290.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","291.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","292.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","293.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","294.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","295.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","296.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","297.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","298.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","299.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","300.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","301.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","302.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","303.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","304.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","305.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","306.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","307.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","308.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-107-C-j19-1","T0","333.T0.6-107-C-j19-1.1.R","107 Durlach Bf ü. Zündhütle","","1","","2"
"6-114-P-j19-1","T0","297.T0.6-114-P-j19-1.4.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","251.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","252.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","255.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","256.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","257.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","258.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","259.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","260.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","285.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","286.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","287.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","289.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","290.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","291.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","292.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","293.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","294.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","295.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","296.T0.6-114-P-j19-1.7.R","114 Pfaffenrot Schwarzenbusch","","1","","2"
"6-114-P-j19-1","T0","264.T0.6-114-P-j19-1.17.H","114 Burbach","","0","","2"
"6-114-P-j19-1","T0","267.T0.6-114-P-j19-1.17.H","114 Burbach","","0","","2"
"6-114-P-j19-1","T0","263.T0.6-114-P-j19-1.2.H","114 Schielberg","","0","","2"
"6-114-P-j19-1","T0","265.T0.6-114-P-j19-1.2.H","114 Schielberg","","0","","2"
"6-114-P-j19-1","T0","261.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","262.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","266.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","268.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","269.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","270.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","271.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","272.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","273.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","277.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","278.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","279.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","280.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","281.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","282.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","283.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-114-P-j19-1","T0","284.T0.6-114-P-j19-1.1.H","114 Schielberg ü. Burbach","","0","","2"
"6-115-P-j19-1","T0","222.T0.6-115-P-j19-1.26.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","223.T0.6-115-P-j19-1.26.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","277.T0.6-115-P-j19-1.28.H","115 Etzenrot Esternaystr. ü. Reichenbach","","0","","2"
"6-115-P-j19-1","T0","278.T0.6-115-P-j19-1.28.H","115 Etzenrot Esternaystr. ü. Reichenbach","","0","","2"
"6-115-P-j19-1","T0","279.T0.6-115-P-j19-1.28.H","115 Etzenrot Esternaystr. ü. Reichenbach","","0","","2"
"6-115-P-j19-1","T0","260.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","261.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","262.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","263.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
